"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Sharon J. Jones, M.D.","CA","","1342","05/19/2015","Theft","Desktop Computer, Laptop, Paper/Films","Yes",""
"Success 4 Kids & Families, Inc.","FL","Healthcare Provider","506","05/20/2015","Theft","Laptop","No",""
"CareFirst BlueCross BlueShield","MD","Health Plan","1100000","05/20/2015","Hacking/IT Incident","Network Server","No",""
"Thomas H. Boyd Memorial Hospital","IL","Healthcare Provider","8300","05/21/2015","Unauthorized Access/Disclosure","Paper/Films","No","A facility where the covered entity (CE) had stored its medical records since 1994 was sold to a third party and possession of this property was given to the new owner for five days, unbeknownst to the CE.  The protected health information (PHI) involved in the breach included the clinical, demographic and financial information of 8,300 individuals.  Upon discovery of the breach, the CE immediately retrieved all records at the facility.  There was no evidence that the records were otherwise compromised.  The CE provided breach notification to HHS, affected individuals, and the media.  The CE retrained employees on its revised policies and procedures, including the proper storage of PHI and distribution of its revised policies and procedures.  OCR obtained assurances that the CE implemented the corrective actions listed.  
     
"
"Beacon Health System","IN","Healthcare Provider","306789","05/22/2015","Hacking/IT Incident","Email","No",""
"University of Rochester Medical Center & Affiliates","NY","Healthcare Provider","3403","05/22/2015","Unauthorized Access/Disclosure","Paper/Films","No",""
"BUFFALO HEART GROUP","NY","Healthcare Provider","567","05/28/2015","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Metropolitan Hospital Center","NY","Healthcare Provider","3957","06/01/2015","Unauthorized Access/Disclosure","Email","No",""
"Oregon's Health CO-OP","OR","Health Plan","14000","06/01/2015","Theft","Laptop","No",""
"Rite Aid Corporation","PA","Healthcare Provider","2345","06/03/2015","Theft","Other, Paper/Films","No","On April 27, 2015, rioters in Baltimore, MD broke into, vandalized, and looted eight locations of the covered entity (CE), Rite Aid, taking 2,345 filled prescriptions.  The “will-call” prescriptions involved in the breach contained patients’ names, addresses, and medication names.  The CE provided breach notification to HHS, the media, and affected individuals and offered credit monitoring.  All of the vandalized locations, except the one that was burned, have been re-opened with full security restored.  OCR obtained assurances that the CE implemented the corrective actions listed."
"Gallant Risk & Insurance Services, Inc.","CA","Business Associate","995","06/03/2015","Theft","Laptop","Yes",""
"Lancaster County EMS","SC","Healthcare Provider","50000","06/04/2015","Improper Disposal","Other Portable Electronic Device","No",""
"Stanislaus Surgical Hospital","CA","Healthcare Provider","1170","06/04/2015","Theft","Desktop Computer, Other Portable Electronic Device, Paper/Films","No",""
"Fred Finch Youth Center","CA","Healthcare Provider","6871","06/05/2015","Theft","Network Server, Other","No",""
"Truman Medical Center, Incorporated","MO","Healthcare Provider","503","06/09/2015","Unauthorized Access/Disclosure","Other","No",""
"Keystone Pharmacy, Inc.","MD","Healthcare Provider","500","06/09/2015","Unauthorized Access/Disclosure","Other, Paper/Films","No",""
"California Physicians' Service d/b/a Blue Shield of California","CA","Health Plan","843","06/09/2015","Unauthorized Access/Disclosure","Network Server","No",""
"United Seating and Mobility, LLC d/b/a Numotion","CT","Healthcare Provider","2722","06/10/2015","Theft","Laptop","No",""
"Implants, Dentures & Dental DBA Half Dental","NV","Healthcare Provider","12000","06/10/2015","Theft","Electronic Medical Record, Laptop, Network Server, Other, Other Portable Electronic Device","No",""
"The Department of Aging and Disability Services","TX","Health Plan","6600","06/11/2015","Unauthorized Access/Disclosure","Network Server","No",""
"National Seating & Mobility, Inc.","TN","Healthcare Provider","9627","06/12/2015","Theft","Email, Laptop, Paper/Films","No",""
"Global Care Delivery, Inc.","TX","Business Associate","18213","06/12/2015","Theft","Laptop","Yes",""
"St. Martin Parish School Based Health Centers","LA","Healthcare Provider","3000","06/15/2015","Theft","Desktop Computer, Electronic Medical Record, Laptop","No",""
"University of California Irvine Medical Center","CA","Healthcare Provider","4859","06/17/2015","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Central Brooklyn Medical Group, PC","NY","Healthcare Provider","4223","06/19/2015","Unauthorized Access/Disclosure","Other","No",""
"Heartland Dental, LLC","IL","Business Associate","2860","06/24/2015","Hacking/IT Incident","Network Server","Yes",""
"Episcopal Health Services Inc. d/b/a St. John's Episcopal Hospital","NY","Healthcare Provider","509","06/25/2015","Theft","Electronic Medical Record","No",""
"CVS Health","RI","Healthcare Provider","12914","06/26/2015","Theft","Desktop Computer","No",""
"Meritus Medical Center, Inc.","MD","Healthcare Provider","1029","06/26/2015","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"UPMC Health Plan","PA","Health Plan","722","07/02/2015","Unauthorized Access/Disclosure","Email","No",""
"Orlando Health","FL","Healthcare Provider","3421","07/02/2015","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"University of Oklahoma, Department of Obstetrics and Gynecology","OK","Healthcare Provider","7693","07/03/2015","Theft","Laptop","No",""
"FireKeepers Casino Hotel","MI","Health Plan","7666","07/03/2015","Hacking/IT Incident","Network Server","No",""
"Georgia Department of Human Services","GA","Health Plan","2983","07/08/2015","Unauthorized Access/Disclosure","Email","No",""
"Massachusetts General Hospital","MA","Healthcare Provider","648","07/08/2015","Unauthorized Access/Disclosure","Email","No",""
"Integral Health Plan, Inc.","FL","Health Plan","7549","07/10/2015","Unauthorized Access/Disclosure","Paper/Films","No",""
"Howard University","DC","Healthcare Provider","1445","07/10/2015","Unauthorized Access/Disclosure","Paper/Films","No",""
"Amsterdam Nursing Home Corporation (1992)","NY","Healthcare Provider","621","07/10/2015","Loss","Paper/Films","No",""
"Mayo Clinic Health System- Red Wing","MN","Healthcare Provider","601","07/13/2015","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Maricopa Special  Health Care District - Maricopa Integrated Health System","AZ","Healthcare Provider","633","07/14/2015","Loss","Other Portable Electronic Device","No",""
